num_repos,precision,recall,accuracy,f1,tp,fp,fn,tn
5,0.6666666666666666,0.3076923076923077,0.7555555555555555,0.42105263157894735,4,2,9,30
10,0.7333333333333333,0.2894736842105263,0.6555555555555556,0.4150943396226416,11,4,27,48
15,0.6875,0.25,0.7185185185185186,0.36666666666666664,11,5,33,86
20,0.6956521739130435,0.32,0.7722222222222223,0.4383561643835616,16,7,34,123
25,0.6857142857142857,0.36923076923076925,0.7688888888888888,0.48,24,11,41,149
30,0.6341463414634146,0.37681159420289856,0.7851851851851852,0.4727272727272728,26,15,43,186
35,0.5777777777777777,0.35135135135135137,0.7873015873015873,0.43697478991596644,26,19,48,222
40,0.58,0.3493975903614458,0.7916666666666666,0.4360902255639098,29,21,54,256
45,0.6037735849056604,0.35555555555555557,0.8049382716049382,0.44755244755244755,32,21,58,294
50,0.6101694915254238,0.3711340206185567,0.8133333333333334,0.46153846153846156,36,23,61,330
55,0.6363636363636364,0.3783783783783784,0.8121212121212121,0.4745762711864407,42,24,69,360
60,0.6081081081081081,0.37815126050420167,0.8092592592592592,0.46632124352331605,45,29,74,392
65,0.5844155844155844,0.375,0.8170940170940171,0.4568527918781726,45,32,75,433
70,0.5609756097560976,0.34074074074074073,0.8015873015873016,0.423963133640553,46,36,89,459
75,0.550561797752809,0.35251798561151076,0.8074074074074075,0.4298245614035087,49,40,90,496
80,0.5436893203883495,0.37583892617449666,0.8055555555555556,0.4444444444444444,56,47,93,524
85,0.5357142857142857,0.3821656050955414,0.8052287581699347,0.446096654275093,60,52,97,556
90,0.5344827586206896,0.3803680981595092,0.808641975308642,0.4444444444444444,62,54,101,593
95,0.5079365079365079,0.378698224852071,0.8046783625730994,0.4338983050847458,64,62,105,624
100,0.5193798449612403,0.3641304347826087,0.8011111111111111,0.42811501597444096,67,62,117,654
105,0.5367647058823529,0.365,0.798941798941799,0.4345238095238095,73,63,127,682
110,0.5310344827586206,0.3581395348837209,0.7919191919191919,0.42777777777777776,77,68,138,707
115,0.527027027027027,0.35454545454545455,0.7951690821256039,0.4239130434782609,78,70,142,745
120,0.5290322580645161,0.351931330472103,0.7925925925925926,0.422680412371134,82,73,151,774
125,0.5333333333333333,0.3492063492063492,0.7857777777777778,0.42206235011990406,88,77,164,796
130,0.5333333333333333,0.34375,0.7905982905982906,0.41805225653206646,88,77,168,837
135,0.5314285714285715,0.34701492537313433,0.7884773662551441,0.41986455981941306,93,82,175,865
140,0.5363128491620112,0.3490909090909091,0.792063492063492,0.42290748898678415,96,83,179,902
145,0.5297297297297298,0.3487544483985765,0.7931034482758621,0.4206008583690987,98,87,183,937
150,0.5157894736842106,0.3402777777777778,0.7911111111111111,0.41004184100418417,98,92,190,970
155,0.5175879396984925,0.33881578947368424,0.7870967741935484,0.40954274353876746,103,96,201,995
160,0.5,0.33876221498371334,0.7868055555555555,0.4038834951456311,104,104,203,1029
165,0.49523809523809526,0.3333333333333333,0.7885521885521886,0.3984674329501916,104,106,208,1067
170,0.5,0.3302180685358255,0.7901960784313725,0.39774859287054404,106,106,215,1103
175,0.4976958525345622,0.3312883435582822,0.7923809523809524,0.3977900552486188,108,109,218,1140
180,0.497737556561086,0.3303303303303303,0.7938271604938272,0.3971119133574007,110,111,223,1176
185,0.49557522123893805,0.3284457478005865,0.793993993993994,0.3950617283950617,112,114,229,1210
190,0.4956521739130435,0.3275862068965517,0.7953216374269005,0.3944636678200692,114,116,234,1246
192,0.4956521739130435,0.3275862068965517,0.7953216374269005,0.3944636678200692,114,116,234,1246
