Repository,Accuracy,F1-Score,Precision,Recall,True Positives,True Negatives,False Positives,False Negatives,Correct Detections,Incorrect Detections
PerformanC/ReZygisk,1.0,1.0,1.0,1.0,1,8,0,0,9,0
ImranR98/Obtainium,1.0,0.0,0.0,0.0,0,9,0,0,9,0
FinalForEach/Cosmic-Reach-Localization,1.0,0.0,0.0,0.0,0,9,0,0,9,0
AprilRobotics/apriltag,1.0,0.0,0.0,0.0,0,9,0,0,9,0
shshemi/tabiew,1.0,0.0,0.0,0.0,0,9,0,0,9,0
DeepMIMO/DeepMIMO,1.0,0.0,0.0,0.0,0,9,0,0,9,0
coinjar/react-native-wagmi-charts,1.0,0.0,0.0,0.0,0,9,0,0,9,0
plbstl/first-contribution,1.0,0.0,0.0,0.0,0,9,0,0,9,0
EWSoftware/SHFB,1.0,0.0,0.0,0.0,0,9,0,0,9,0
mhogomchungu/media-downloader,1.0,0.0,0.0,0.0,0,9,0,0,9,0
ADOdb/ADOdb,1.0,0.0,0.0,0.0,0,9,0,0,9,0
gyroflow/gyroflow,1.0,0.0,0.0,0.0,0,9,0,0,9,0
StephanU/MyGekko,1.0,0.0,0.0,0.0,0,9,0,0,9,0
GPUOpen-LibrariesAndSDKs/VulkanMemoryAllocator,1.0,0.0,0.0,0.0,0,9,0,0,9,0
PHPMailer/PHPMailer,1.0,0.0,0.0,0.0,0,9,0,0,9,0
yuin/goldmark,1.0,0.0,0.0,0.0,0,9,0,0,9,0
pylint-dev/pylint,1.0,0.0,0.0,0.0,0,9,0,0,9,0
android/nowinandroid,1.0,0.0,0.0,0.0,0,9,0,0,9,0
aperechnev/ChessKit,1.0,0.0,0.0,0.0,0,9,0,0,9,0
swcarpentry/shell-novice,1.0,0.0,0.0,0.0,0,9,0,0,9,0
teo-tsirpanis/Farkle,1.0,0.0,0.0,0.0,0,9,0,0,9,0
jsinger67/parol,1.0,0.0,0.0,0.0,0,9,0,0,9,0
misbahansori/originui-vue,1.0,0.0,0.0,0.0,0,9,0,0,9,0
cornradio/pausemygame,1.0,0.0,0.0,0.0,0,9,0,0,9,0
google/aarch64-esr-decoder,1.0,0.0,0.0,0.0,0,9,0,0,9,0
ForNeVeR/AvaloniaRider,1.0,0.0,0.0,0.0,0,9,0,0,9,0
IAS-Astrophysics/athenak,1.0,0.0,0.0,0.0,0,9,0,0,9,0
EarthyScience/Browzarr,1.0,0.0,0.0,0.0,0,9,0,0,9,0
richgrov/simulo,1.0,0.0,0.0,0.0,0,9,0,0,9,0
wikimedia/mediawiki-extensions-Scribunto,1.0,0.0,0.0,0.0,0,9,0,0,9,0
hafaio/repub,1.0,0.0,0.0,0.0,0,9,0,0,9,0
tomtomwombat/fastbloom,1.0,0.0,0.0,0.0,0,9,0,0,9,0
typelevel/fs2,1.0,0.0,0.0,0.0,0,9,0,0,9,0
stratis-storage/stratis-cli,1.0,0.0,0.0,0.0,0,9,0,0,9,0
phi-ag/argon2,1.0,0.0,0.0,0.0,0,9,0,0,9,0
kelseykm/vcard4,1.0,0.0,0.0,0.0,0,9,0,0,9,0
micahkepe/radion,1.0,0.0,0.0,0.0,0,9,0,0,9,0
pandas-dev/pandas-stubs,1.0,0.0,0.0,0.0,0,9,0,0,9,0
ology/Music,1.0,0.0,0.0,0.0,0,9,0,0,9,0
MusculoskeletalAtlasProject/mapclient,1.0,0.0,0.0,0.0,0,9,0,0,9,0
Olical/conjure,1.0,0.0,0.0,0.0,0,9,0,0,9,0
microsoft/azure-devops-extension-tasks,1.0,0.0,0.0,0.0,0,9,0,0,9,0
euslisp/EusLisp,1.0,0.0,0.0,0.0,0,9,0,0,9,0
cms-sw/cmsdist,1.0,0.0,0.0,0.0,0,9,0,0,9,0
distantcam/AutoCtor,1.0,0.0,0.0,0.0,0,9,0,0,9,0
