Repository,Pattern,Files_Scored,Files_Analyzed,Evidence_Found,Detected,Top_Scored_File,Top_Score,Avg_Score
0x2142/frigate-notify,3rd Party Registration,93,20,0,False,HEAD,0.210,0.210
0x2142/frigate-notify,Multiple service instances per host,2,2,0,False,docker-compose.yml,0.700,0.560
0x2142/frigate-notify,Server-side service discovery,98,20,0,False,router.go,0.420,0.214
0x2142/frigate-notify,Service deployment platform,98,20,1,True,Dockerfile,0.497,0.216
0x2142/frigate-notify,Service instance per VM,71,20,0,False,Dockerfile,0.210,0.210
0x2142/frigate-notify,Service instance per container,71,20,2,True,Dockerfile,0.784,0.299
0x2142/frigate-notify,Service mesh,97,20,0,False,HEAD,0.210,0.210
0x2142/frigate-notify,Service registry,90,20,0,False,v1_routes.go,0.360,0.218
0x2142/frigate-notify,Single Service Instance per Host,103,20,0,False,HEAD,0.210,0.210
1Solon/Home-Server-Configuration,3rd Party Registration,6,6,0,False,deployment.yaml,0.700,0.700
1Solon/Home-Server-Configuration,Multiple service instances per host,65,20,2,True,release.yaml,0.420,0.394
1Solon/Home-Server-Configuration,Server-side service discovery,17,17,4,True,kustomization.yaml,0.770,0.700
1Solon/Home-Server-Configuration,Service deployment platform,64,20,18,True,service.yaml,0.777,0.521
1Solon/Home-Server-Configuration,Service instance per VM,6,6,0,False,inventory.yaml,0.490,0.432
1Solon/Home-Server-Configuration,Service instance per container,62,20,8,True,deployment.yaml,0.773,0.343
1Solon/Home-Server-Configuration,Service mesh,13,13,0,False,secret.yaml,0.280,0.215
1Solon/Home-Server-Configuration,Service registry,15,15,0,False,README.md,0.420,0.420
1Solon/Home-Server-Configuration,Single Service Instance per Host,4,4,0,False,flux.yaml,0.420,0.420
ADOdb/ADOdb,3rd Party Registration,2,2,0,False,FUNDING.yml,0.420,0.420
ADOdb/ADOdb,Multiple service instances per host,115,20,0,False,HEAD,0.210,0.210
ADOdb/ADOdb,Server-side service discovery,0,0,0,False,,0.000,0.000
ADOdb/ADOdb,Service deployment platform,1,1,0,False,composer.json,0.420,0.420
ADOdb/ADOdb,Service instance per VM,5,5,0,False,phpdoc.dist.xml,0.420,0.420
ADOdb/ADOdb,Service instance per container,0,0,0,False,,0.000,0.000
ADOdb/ADOdb,Service mesh,1,1,0,False,composer.json,0.420,0.420
ADOdb/ADOdb,Service registry,15,15,0,False,bug_report.md,0.420,0.420
ADOdb/ADOdb,Single Service Instance per Host,0,0,0,False,,0.000,0.000
Abhinandan-Kushwaha/react-native-gifted-charts,3rd Party Registration,7,7,0,False,bug_report.yaml,0.420,0.420
Abhinandan-Kushwaha/react-native-gifted-charts,Multiple service instances per host,2,2,0,False,gradlew.bat,0.490,0.455
Abhinandan-Kushwaha/react-native-gifted-charts,Server-side service discovery,0,0,0,False,,0.000,0.000
Abhinandan-Kushwaha/react-native-gifted-charts,Service deployment platform,6,6,0,False,app.json,0.420,0.420
Abhinandan-Kushwaha/react-native-gifted-charts,Service instance per VM,4,4,0,False,AndroidManifest.xml,0.420,0.420
Abhinandan-Kushwaha/react-native-gifted-charts,Service instance per container,0,0,0,False,,0.000,0.000
Abhinandan-Kushwaha/react-native-gifted-charts,Service mesh,180,20,0,False,HEAD,0.210,0.210
Abhinandan-Kushwaha/react-native-gifted-charts,Service registry,35,20,0,False,App.js,0.420,0.420
Abhinandan-Kushwaha/react-native-gifted-charts,Single Service Instance per Host,181,20,0,False,HEAD,0.210,0.210
AprilRobotics/apriltag,3rd Party Registration,6,6,0,False,bloom.yml,0.420,0.420
AprilRobotics/apriltag,Multiple service instances per host,0,0,0,False,,0.000,0.000
AprilRobotics/apriltag,Server-side service discovery,6,6,0,False,bloom.yml,0.420,0.420
AprilRobotics/apriltag,Service deployment platform,6,6,0,False,bloom.yml,0.210,0.210
AprilRobotics/apriltag,Service instance per VM,7,7,0,False,bloom.yml,0.420,0.420
AprilRobotics/apriltag,Service instance per container,66,20,0,False,HEAD,0.210,0.210
AprilRobotics/apriltag,Service mesh,6,6,0,False,bloom.yml,0.420,0.420
AprilRobotics/apriltag,Service registry,128,20,0,False,HEAD,0.210,0.210
AprilRobotics/apriltag,Single Service Instance per Host,6,6,0,False,bloom.yml,0.420,0.420
Azure/aaz,3rd Party Registration,5872,20,0,False,tree.json,0.465,0.420
Azure/aaz,Multiple service instances per host,2,2,0,False,pre-commit.ps1,0.420,0.420
Azure/aaz,Server-side service discovery,1,1,0,False,verify-metadata.yml,0.420,0.420
Azure/aaz,Service deployment platform,5873,20,0,False,pre-commit.sh,0.420,0.420
Azure/aaz,Service instance per VM,5878,20,1,True,pre-commit.ps1,0.420,0.420
Azure/aaz,Service instance per container,1,1,0,False,verify-metadata.yml,0.420,0.420
Azure/aaz,Service mesh,5872,20,0,False,verify-metadata.yml,0.420,0.420
Azure/aaz,Service registry,7222,20,0,False,pre-commit.sh,0.420,0.420
Azure/aaz,Single Service Instance per Host,1,1,0,False,verify-metadata.yml,0.420,0.420
Cantara/xorcery,3rd Party Registration,13,13,3,True,servicediscovery.md,0.700,0.431
Cantara/xorcery,Multiple service instances per host,7,7,2,True,docker-compose.yaml,0.700,0.520
Cantara/xorcery,Server-side service discovery,36,20,9,True,DnsLookup.java,0.700,0.622
Cantara/xorcery,Service deployment platform,18,18,5,False,Dockerfile,0.782,0.452
Cantara/xorcery,Service instance per VM,113,20,0,False,pom.xml,0.420,0.420
Cantara/xorcery,Service instance per container,9,9,8,True,Dockerfile,0.782,0.617
Cantara/xorcery,Service mesh,47,20,0,False,servicediscovery.md,0.700,0.377
Cantara/xorcery,Service registry,33,20,3,True,servicediscovery.md,0.757,0.449
Cantara/xorcery,Single Service Instance per Host,15,15,0,False,xorcery.yaml,0.700,0.532
Cleanuparr/Cleanuparr,3rd Party Registration,28,20,0,False,FUNDING.yml,0.420,0.420
Cleanuparr/Cleanuparr,Multiple service instances per host,2,2,0,False,entrypoint.sh,0.509,0.464
Cleanuparr/Cleanuparr,Server-side service discovery,9,9,0,False,build-docker.yml,0.420,0.420
Cleanuparr/Cleanuparr,Service deployment platform,7,7,5,True,Dockerfile,0.506,0.432
Cleanuparr/Cleanuparr,Service instance per VM,10,10,0,False,build-docker.yml,0.420,0.420
Cleanuparr/Cleanuparr,Service instance per container,3,3,1,False,Dockerfile,0.790,0.543
Cleanuparr/Cleanuparr,Service mesh,23,20,0,False,build-docker.yml,0.420,0.420
Cleanuparr/Cleanuparr,Service registry,16,16,0,False,PULL_REQUEST_TEMPLATE.md,0.420,0.420
Cleanuparr/Cleanuparr,Single Service Instance per Host,9,9,1,True,build-docker.yml,0.420,0.420
CloudCannon/rosey,3rd Party Registration,9,9,0,False,dependabot.yml,0.420,0.420
CloudCannon/rosey,Multiple service instances per host,1,1,0,False,test.sh,0.420,0.420
CloudCannon/rosey,Server-side service discovery,3,3,0,False,dependabot.yml,0.420,0.420
CloudCannon/rosey,Service deployment platform,7,7,1,True,dependabot.yml,0.420,0.420
CloudCannon/rosey,Service instance per VM,4,4,0,False,dependabot.yml,0.420,0.420
CloudCannon/rosey,Service instance per container,3,3,0,False,dependabot.yml,0.420,0.420
CloudCannon/rosey,Service mesh,115,20,0,False,changelog.cjs,0.210,0.210
CloudCannon/rosey,Service registry,27,20,0,False,dependabot.yml,0.420,0.420
CloudCannon/rosey,Single Service Instance per Host,3,3,0,False,dependabot.yml,0.420,0.420
Comfy-Org/registry-web,3rd Party Registration,24,20,0,False,api-gen.yml,0.420,0.420
Comfy-Org/registry-web,Multiple service instances per host,0,0,0,False,,0.000,0.000
Comfy-Org/registry-web,Server-side service discovery,1,1,0,False,api-architecture.md,0.420,0.420
Comfy-Org/registry-web,Service deployment platform,1,1,1,False,vercel.json,0.420,0.420
Comfy-Org/registry-web,Service instance per VM,7,7,0,False,api-gen.yml,0.420,0.420
Comfy-Org/registry-web,Service instance per container,7,7,0,False,api-gen.yml,0.420,0.420
Comfy-Org/registry-web,Service mesh,24,20,0,False,api-gen.yml,0.420,0.420
Comfy-Org/registry-web,Service registry,6,6,0,False,FilterRegistry.tsx,0.420,0.420
Comfy-Org/registry-web,Single Service Instance per Host,7,7,0,False,api-gen.yml,0.420,0.420
DavidHDev/react-bits,3rd Party Registration,1,1,0,False,registry.json,0.700,0.700
DavidHDev/react-bits,Multiple service instances per host,0,0,0,False,,0.000,0.000
DavidHDev/react-bits,Server-side service discovery,1,1,0,False,registry.json,0.700,0.700
DavidHDev/react-bits,Service deployment platform,463,20,0,False,jsrepo-build-config.json,0.420,0.420
DavidHDev/react-bits,Service instance per VM,0,0,0,False,,0.000,0.000
DavidHDev/react-bits,Service instance per container,0,0,0,False,,0.000,0.000
DavidHDev/react-bits,Service mesh,463,20,0,False,jsrepo-build-config.json,0.420,0.420
DavidHDev/react-bits,Service registry,3,3,0,False,registry.json,0.700,0.513
DavidHDev/react-bits,Single Service Instance per Host,0,0,0,False,,0.000,0.000
DeepMIMO/DeepMIMO,3rd Party Registration,0,0,0,False,,0.000,0.000
DeepMIMO/DeepMIMO,Multiple service instances per host,0,0,0,False,,0.000,0.000
DeepMIMO/DeepMIMO,Server-side service discovery,0,0,0,False,,0.000,0.000
DeepMIMO/DeepMIMO,Service deployment platform,0,0,0,False,,0.000,0.000
DeepMIMO/DeepMIMO,Service instance per VM,196,20,0,False,HEAD,0.210,0.210
DeepMIMO/DeepMIMO,Service instance per container,0,0,0,False,,0.000,0.000
DeepMIMO/DeepMIMO,Service mesh,0,0,0,False,,0.000,0.000
DeepMIMO/DeepMIMO,Service registry,176,20,0,False,HEAD,0.210,0.210
DeepMIMO/DeepMIMO,Single Service Instance per Host,0,0,0,False,,0.000,0.000
Delgan/loguru,3rd Party Registration,8,8,0,False,dependabot.yml,0.420,0.420
Delgan/loguru,Multiple service instances per host,3,3,1,True,_locks_machinery.py,0.420,0.420
Delgan/loguru,Server-side service discovery,5,5,0,False,codeql-analysis.yml,0.420,0.420
Delgan/loguru,Service deployment platform,7,7,1,False,codeql-analysis.yml,0.420,0.420
Delgan/loguru,Service instance per VM,6,6,0,False,codeql-analysis.yml,0.420,0.420
Delgan/loguru,Service instance per container,5,5,0,False,codeql-analysis.yml,0.420,0.420
Delgan/loguru,Service mesh,6,6,0,False,codeql-analysis.yml,0.420,0.420
Delgan/loguru,Service registry,177,20,0,False,SECURITY.md,0.420,0.420
