Country,Count,Percentage
United States of America,40,19.2%
Germany,22,10.6%
China,19,9.1%
United Kingdom,9,4.3%
Netherlands,7,3.4%
Russia,7,3.4%
Austria,7,3.4%
France,7,3.4%
Japan,6,2.9%
Italy,6,2.9%
Australia,6,2.9%
Spain,6,2.9%
Poland,5,2.4%
Portugal,5,2.4%
Canada,4,1.9%
Switzerland,4,1.9%
India,4,1.9%
Nigeria,3,1.4%
Iran,3,1.4%
Sweden,3,1.4%
Brazil,3,1.4%
Czechia,3,1.4%
New Zealand,2,1.0%
Mexico,2,1.0%
Indonesia,2,1.0%
Sri Lanka,1,0.5%
Ireland,1,0.5%
Greece,1,0.5%
South Korea,1,0.5%
Estonia,1,0.5%
Denmark,1,0.5%
Kazakhstan,1,0.5%
Colombia,1,0.5%
Peru,1,0.5%
Egypt,1,0.5%
Ukraine,1,0.5%
Argentina,1,0.5%
Kenya,1,0.5%
Slovenia,1,0.5%
Costa Rica,1,0.5%
Finland,1,0.5%
Singapore,1,0.5%
Israel,1,0.5%
Norway,1,0.5%
Croatia,1,0.5%
Tanzania,1,0.5%
Romania,1,0.5%
Bulgaria,1,0.5%
Missing,0,0.0%
